source,page,label,collection,url,host,strategy,first_seen
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,AMACRO | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC_COL.11-AMACRO_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Amazônia Legal | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC_COL.11-LEGAL_AMAZON_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Amazônia Legal | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-LEGAL-AMAZON-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Biomas e Estados | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COL.11-BIOME_STATE.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,"Biomas, Estados e Municípios | Cobertura 30m - Coleção 11",11,https://drive.google.com/uc?id=1otOqymHuixvkRGVl65zTTNyfaHo46Gqk,drive.google.com,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,DHN250 | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC-COL.11-DHN250_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Divisão Hidrográfica Nacional (DHN250) | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-DHN250-LEVEL3-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Lei da Mata Atlântica | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC_COL.11-ATLANTIC_FOREST_LAW_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Lei da Mata Atlântica | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-STATE_ATLANTIC-FOREST-LAW-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,MATOPIBA | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC-COL.11-MATOPIBA_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,MATOPIBA | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-MATOPIBA-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Municípios | Sistemas de irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-MUNICIPALITY-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Quilombos | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC-COL.11-QUILOMBOS_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Quilombos | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-QUILOMBO-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Reservas da Biosfera | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-BIOSPHERE-RESERVE-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Semiárido | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL-COVERAGE_STATISTIC-COL.11-SEMIARID_STATE_BIOME.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Semiárido | Sistemas de Irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-SEMIARID-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Áreas prioritárias para a conservação da biodiversidade (MMA) | Sistemas de irrigação - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/09/MAPBIOMAS-BRAZIL-IRRIGATION-SYSTEMS-STATE_PRIORITY-AREAS-MMA-COLLECTION_11.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
mapbiomas,https://brasil.mapbiomas.org/downloads/estatisticas/,Áreas prioritárias para conservação (MMA) | Cobertura 30m - Coleção 11,11,https://brasil.mapbiomas.org/wp-content/uploads/sites/3/2026/08/MAPBIOMAS_BRAZIL_COVERAGE_STATISTIC_COL.11-PRIORITY_AREAS_STATE_BIOMES.xlsx,brasil.mapbiomas.org,row_block,2026-09-21
